"Orgànica";"Programa";"Econòmica";"Descripció";"Crèdits inicials";"Modificacions de crèdit";"Crèdits totals consignats";"Obligacions reconegudes"
"200";"32000";"12000";"RETR.BAS.P.FUNCIONARI A1 EDUCACIÓ";"29.648,44";"0,00";"29.648,44";"14.824,22"
"200";"32000";"12003";"RETR.BAS.P.FUNCIONARI C1 EDUCACIÓ";"29.951,46";"0,00";"29.951,46";"15.536,35"
"200";"32000";"12006";"TRIENNIS P FUNCIONARI EDUCACIÓ";"18.835,96";"0,00";"18.835,96";"8.856,38"
"200";"32000";"12009";"ALTRES RETR.BAS.P.FUNCIONARI EDUCACIÓ";"14.056,54";"0,00";"14.056,54";"6.890,73"
"200";"32000";"12100";"COMPLEMENT DE DESTINACIÓ FUNCIONARIS EDUCACIÓ";"32.325,00";"0,00";"32.325,00";"16.433,83"
"200";"32000";"12101";"COMP.ESPECÍFIC FUNCIONARIS EDUCACIÓ";"52.014,23";"-12.875,50";"39.138,73";"20.322,64"
"200";"32000";"13000";"RETR.BAS.P.LABORAL EDUCACIÓ";"793.061,47";"-49.461,60";"743.599,87";"363.175,03"
"200";"32000";"13100";"RETR.P.LABORAL TEMPORAL EDUCACIÓ";"9.343,93";"0,00";"9.343,93";"872,28"
"200";"32000";"15000";"PRODUCTIVITAT EDUCACIÓ";"34.695,79";"939,00";"35.634,79";"1.203,18"
"200";"32000";"15100";"GRATIFICACIONS PERSONAL EDUCACIÓ";"8.000,00";"0,00";"8.000,00";"434,94"
"200";"32000";"15300";"COMPLEMENT DE DEDICACIÓ ESPECIAL EDUCACIÓ";"16.580,28";"82.900,22";"99.480,50";"55.128,29"
"200";"32000";"16000";"QUOTES SOCIALS EDUCACIÓ";"315.605,81";"6.357,27";"321.963,08";"155.797,55"
"200";"32000";"22610";"DESPESES GENERALS EDUCACIO";"7.300,00";"5.498,98";"12.798,98";"8.170,77"
"200";"32100";"20200";"LLOGUERS EDUCACIÓ";"72.600,00";"17.424,00";"90.024,00";"34.122,00"
"200";"32300";"21200";"MANTENIMENT ESCOLES";"212.000,00";"18.471,57";"230.471,57";"132.150,57"
"200";"32300";"22100";"SUBM ELÈCTRIC ESCOLES";"333.900,00";"0,00";"333.900,00";"151.734,95"
"200";"32300";"22102";"SUBM GAS ESCOLES";"65.000,00";"3.651,85";"68.651,85";"31.941,41"
"200";"32300";"22103";"COMBUSTIBLES I CARBURANTS ESCOLES";"180.000,00";"11.517,68";"191.517,68";"76.695,04"
"200";"32300";"22199";"ALTRES SUBMINISTRAMENTS ESCOLES";"5.000,00";"120,94";"5.120,94";"4.599,62"
"200";"32300";"22613";"ESCOLA ADULTS";"15.700,00";"1.276,96";"16.976,96";"3.644,02"
"200";"32300";"22700";"NETEJA ESCOLES";"1.951.725,00";"313.411,10";"2.265.136,10";"1.016.212,85"
"200";"32301";"22700";"NETEJA OFICINA MUNICIPAL EDUCACIÓ";"3.480,00";"0,00";"3.480,00";"799,35"
"200";"32302";"22700";"NETEJA ESCOLA ADULTS";"4.300,00";"741,21";"5.041,21";"0,00"
"200";"32410";"13000";"RETR.BAS.P.LABORAL EDUCACIÓ EEBB";"1.837.000,35";"-207.546,29";"1.629.454,06";"832.109,91"
"200";"32410";"15000";"PRODUCTIVITAT EDUCACIÓ EEBB";"60.726,05";"0,00";"60.726,05";"829,77"
"200";"32410";"15100";"GRATIFICACIONS EDUCACIÓ EEBB";"0,00";"0,00";"0,00";"0,00"
"200";"32410";"15300";"COMPLEMENT DE DEDICACIÓ ESPECIAL EDUCACIÓ EEBB";"40.414,28";"207.546,29";"247.960,57";"125.461,58"
"200";"32410";"16000";"QUOTES SOCIALS EDUCACIÓ EEBB";"604.678,90";"0,00";"604.678,90";"266.816,10"
"200";"32410";"22610";"DESPESES ESCOLES BRESSOL";"45.000,00";"5.942,51";"50.942,51";"20.721,97"
"200";"32410";"22611";"DESPESES MENJADOR ESCOLES BRESSOL";"347.000,00";"68.935,60";"415.935,60";"164.796,59"
"200";"32500";"22610";"CONSELL MUNICIPAL D'EDUCACIÓ";"3.000,00";"26,25";"3.026,25";"846,01"
"200";"32500";"22611";"PROJECTES EDUCACIÓ";"52.000,00";"33.224,72";"85.224,72";"23.964,22"
"200";"32500";"22612";"ESCOLARITZACIÓ";"2.000,00";"3.969,64";"5.969,64";"1.667,23"
"200";"32500";"62500";"MOBILIARI SERVEI D'EDUCACIÓ";"0,00";"2.972,97";"2.972,97";"0,00"
"200";"32600";"41000";"ORG. AUTONOM D'EDUCACIÓ MUSICAL";"400.000,00";"0,00";"400.000,00";"112.362,00"
"200";"32600";"22610";"RECURSOS EDUCATIUS";"60.000,00";"8.586,37";"68.586,37";"27.084,39"
"200";"32600";"48000";"PREMIS I BEQUES";"3.000,00";"6.000,00";"9.000,00";"0,00"
"200";"32600";"48001";"AJUTS I TRANSFERÈNCIES EDUCACIÓ";"310.000,00";"274.007,57";"584.007,57";"82.786,67"
"200";"32600";"48002";"TRANSF ESCOLA MÚSICA - GESTIÓ REBUTS";"0,00";"525,00";"525,00";"0,00"
"200";"32600";"60903";"MILLORES ESCOLES";"105.000,00";"63.850,75";"168.850,75";"2.981,44"
"201";"23100";"14301";"ALTRE PERSONAL SERVEIS SOCIALS";"0,00";"0,00";"0,00";"0,00"
