Descripcio;Nom_comercial;Codi_carrer;Codi_via;Nom_carrer;Numero_inf;Lletra_inf;Accessori_inf;Numero_sup;Lletra_sup; Accessori_sup;Escala;Pis;Porta;Id_edifici;utm_x_ed50;utm_y_ed50;utm_x_etrs89; utm_y_etrs89;lon;lat
CARNISSERIA-PREPARACIO PLATS PRECUINATS;;169;TR;Creu;18;;N;;;N;;BS;;1454;485310;4647329;485216;4647124;2,82156019;41,97597637
BAR RESTAURANT (CAT. 3);PONT DEL DIMONI;434;PG;Olot;26;;N;;;N;;BS;2;4759;484248;4647399;484154;4647194;2,80873982;41,97658628
BAR AMB SERVEI DE FLECA;SANT PAU;166;CR;Creu;34;;N;;;N;;BS;1;1420;485239;4647328;485145;4647123;2,82070323;41,97596604
BAR;LA XERA;9;CR;Agudes;25;;N;;;N;;BS;A;5245;483778;4647273;483684;4647068;2,80307028;41,97544188
BAR;ALANA;358;CR;Marquès de Caldes de Montbui;14;;N;;;N;;BS;;2514;484776;4646646;484682;4646441;2,81513245;41,96981465
BAR;BOCAFÈ;125;CR;Carme;121;;N;;;N;;BS;B;411;485545;4647437;485451;4647232;2,82439401;41,97695345
BAR RESTAURANT (CAT. 3);RESTAURANT CAFÈ PAU CASALS;449;CR;Pau Casals;34;;N;0;;N;;;;4195;484503;4648067;484409;4647862;2,81180009;41,9826078
GIMNAS;TOP GYM;556;CR;Rutlla;226;;N;228;;N;;BS;;2199;485285;4646608;485191;4646403;2,82127652;41,96948209
RESTAURANT;CAL ROS;161;CR;Cort Reial;7;A;N;;;N;;BS;;5787;485603;4648270;485509;4648065;2,82507364;41,98445707
SUPERMERCAT;CONDIS;350;CR;Josep Maluquer i Salvador;6;;N;;;N;;;;2694;485195;4647426;485101;4647221;2,82016967;41,97684786
DESPATX D'ARQUITECTURA TÈCNICA;QUADRANT;280;CR;Illa de Formentera;4;;N;;;N;;BS;5;6808;485499;4650533;485405;4650328;2,82376218;42,00483721
VENDA DE LLAMINS I ALTRES PRODUCTES SIMI;BO BO LLAMINS;671;CR;Ultònia;14;;N;;;N;;BS;4;1337;485320;4647602;485226;4647397;2,82167406;41,97843538
RESTAURANT;CA LA PILAR;478;CR;Pont Major;124;;N;126;;N;;BS;;7281;485786;4651535;485692;4651330;2,82720356;42,0138671
