"Descripcio";"Nom_comercial";"Codi_carrer";"Codi_via";"Nom_carrer";"Numero_inf";"Lletra_inf";"Accessori_inf";"Numero_sup";"Lletra_sup";" Accessori_sup";"Escala";"Pis";"Porta";"Id_edifici";"utm_x_etrs89";" utm_y_etrs89";"lon";"lat"
"ARTICLES PARAMENT, REGALS, TÈXTILS I ORN";"HIPERCOR SA";"56";"CR";"BARCELONA";"139";"";"N";"";"";"N";"";"BS";"";"2537";"484605";"4646264";"2,81420207";"41,96821613"
"OFICINES I MAGATZEM MATERIAL DE CONSTRUCCIÓ";"OSG";"300";"CR";"JOAN TORRÓ I CABRATOSA";"18";"";"N";"0";"";"N";"";"";"";"5053";"483902";"4645428";"2,80574068";"41,96067251"
"RESTAURANT";"RESTAURANT CA L'ESTEVE";"93";"CR";"CAMP DE LES LLOSES";"9";"";"N";"";"";"N";"";"";"";"5082";"483837";"4644849";"2,80497222";"41,95545631"
"RESTAURANT";"ALDOLINI";"426";"CR";"NORD";"22";"";"N";"";"";"N";"";"BS";"3";"3850";"485310";"4648204";"2,82266201";"41,98570251"
"SALÓ DE BELLESA I PERRUQUERIA";"RISSOS";"359";"PL";"MARQUÈS DE CAMPS";"19";"";"N";"";"";"N";"E";"5";"";"1150";"485057";"4647843";"2,81961698";"41,98244635"
"DESPATX D'ADVOCAT";"SEBASTIÀ SALELLAS ADVOCAT, ASSESSORIA JURÍDICA";"359";"PL";"MARQUÈS DE CAMPS";"9";"";"N";"";"";"N";"";"6";"2";"1109";"484986";"4647778";"2,81876158";"41,98185957"
"CONSULTORI D'ESTOMATOLOGIA";"DOCTORS VILA";"386";"CR";"MIGDIA";"9";"";"N";"";"";"N";"";"EN";"E";"1412";"485183";"4647231";"2,82115340";"41,97693665"
"VENDA DE ROBA";"ELENA MIRO";"684";"PL";"VI";"8";"";"N";"";"";"N";"";"BS";"1";"5721";"485448";"4647909";"2,82433525";"41,98304811"
"REPARACIÓ DE CALÇAT";"L'INSTANT";"560";"RD";"SANT ANTONI MARIA CLARET";"3";"";"N";"";"";"N";"";"BS";"2";"1154";"485016";"4647642";"2,81912718";"41,98063523"
"GIMNÀS AMB PISCINA";"AQUADONA";"596";"CR";"SANTA EUGÈNIA";"2";"";"N";"";"";"N";"";"BS";"";"3917";"484974";"4647828";"2,81861544";"41,98230967"
"SUPERMERCAT D'ALIMENTACIÓ";"CAPRABO";"612";"CR";"SÈQUIA";"9";"";"N";"0";"";"N";"";"BS";"";"3690";"485134";"4647937";"2,82054410";"41,98329443"
"BAR";"HAPPY";"624";"CT";"TAIALÀ";"48";"";"N";"";"";"N";"";"BS";"";"7509";"483920";"4649169";"2,80585558";"41,99436676"
"BAR RESTAURANT (CAT. 3)";"HUSSAIN DONER KEBAB";"56";"CR";"BARCELONA";"83";"";"N";"";"";"N";"";"BS";"2";"1571";"484706";"4646689";"2,81540996";"41,97204593"
"CARNISSERIA I XARCUTERIA I VENDA DE PLATS CUINATS I PRECUINATS (SENSE ELEMENTS DE COCCIÓ)";"CARNS PERE RIGAU";"89";"PL";"FRANCESC CALVET I RUBALCABA";"12";"";"N";"";"";"N";"";"BS";"2";"1341";"485270";"4647474";"2,82219743";"41,97912690"
"BAR";"APOLO";"375";"CR";"MAÇANA";"52";"";"N";"";"";"N";"";"BS";"1";"5219";"483810";"4647171";"2,80458253";"41,97636924"
"CENTRE CONSULTES MEDIQUES";"Gabinet de diagnosi i tractament";"313";"PL";"JOSEP PLA";"1";"";"N";"";"";"N";"";"1";"1";"3707";"485286";"4647921";"2,82237937";"41,98315318"
"BAR";"NOU";"322";"AV";"AMICAL MAUTHAUSEN";"133";"";"N";"";"";"N";"";"BS";"4";"7467";"484525";"4648959";"2,81316564";"41,99248749"
"BAR RESTAURANT (CAT. 2)";"LA MANDARINA";"74";"CR";"TOMÁS DE LORENZANA";"47";"";"N";"";"";"N";"";"BS";"2";"1381";"484991";"4647424";"2,81883097";"41,97867131"
"CARNISSERIA-XARCUTERIA";"CARNISSERIA NARCÍS COLL";"689";"RB";"XAVIER CUGAT";"16";"";"N";"";"";"N";"";"BS";"5";"7362";"484815";"4648952";"2,81666706";"41,99243009"
"PAPERERIA - COPISTERIA";"REPROGIR";"334";"AV";"LLUÍS PERICOT";"34";"";"N";"";"";"N";"";"BS";"";"2225";"485396";"4646444";"2,82374392";"41,96985238"
"BAR-RESTAURANT CATEGORIA 1";"EL RACONET DE GIRONA";"449";"CR";"PAU CASALS";"24";"";"N";"";"";"N";"";"BS";"2";"4193";"484495";"4647906";"2,81283123";"41,98300291"
"RESTAURANT";"COAST TO COAST";"454";"CR";"PEDRET";"136";"";"N";"";"";"N";"";"BS";"1";"6724";"485536";"4649338";"2,82536236";"41,99592022"
"FABRICACIÓ D'ARTICLES DE PA I BOLLERIA";"MARRAKESCH";"596";"CR";"SANTA EUGÈNIA";"45";"";"N";"";"";"N";"";"BS";"2";"5550";"484498";"4647525";"2,81287749";"41,97957143"
"SERVEIS DE TINTORERIA";"SERVISEC";"386";"CR";"MIGDIA";"90";"";"N";"92";"";"N";"";"BS";"1";"1655";"484950";"4646379";"2,81836282";"41,96925856"
"TALLER MECÀNIC SENSE PINTURA";"TRANSPORTS MATEU";"722";"CR";"SARRIÀ DE TER";"9";"";"N";"0";"";"N";"";"";"";"5048";"484047";"4645631";"2,80748493";"41,96250381"
"OFICINA BANCARIA";"LA CAIXA";"566";"CT";"SANT FELIU";"31";"";"N";"";"";"N";"";"BS";"1";"686";"486625";"4646567";"2,83857390";"41,97098202"
"FORN DE PA I OBRADOR";"Forn de pa Taiala";"624";"CT";"TAIALÀ";"98";"";"N";"";"";"N";"";"";"";"7703";"483580";"4649258";"2,80174808";"41,99516133"
"TALLER DE REPARACIO DE MOTOCICLETES.";"VESPA CASADEMONT";"147";"CR";"CERVERÍ";"7";"";"N";"";"";"N";"";"BS";"2";"3984";"484975";"4648176";"2,81861862";"41,98544400"
"NOTARIA";"ENRIC BRANCOS, ADVOCATS";"56";"CR";"BARCELONA";"3";"";"N";"";"";"N";"";"1";"";"1161";"485019";"4647712";"2,81916161";"41,98126575"
"PERRUQUERIA";"PERRUQUERIA FERRER";"56";"CR";"BARCELONA";"81";"";"N";"";"";"N";"";"BS";"3";"1572";"484711";"4646704";"2,81546991";"41,97218113"
"BAR-RESTAURANT (CAT. 1)";"ACAPULCO";"596";"CR";"SANTA EUGÈNIA";"39";"";"N";"";"";"N";"";"BS";"2";"5548";"484530";"4647505";"2,81326428";"41,97939193"
"AUTOSERVEI D'ALIMENTACIÓ";"DIA";"228";"CR";"FRANCESC ARTAU";"2";"";"N";"";"";"N";"";"BS";"2";"5511";"484484";"4647415";"2,81271140";"41,97858042"
"AUTOSERVEI D'ALIMENTACIÓ";"DIA";"21";"AV";"MARIANO ÁLVAREZ DE CASTRO";"4";"";"N";"0";"";"N";"";"BS";"";"1162";"485033";"4647722";"2,81933035";"41,98135609"
"BAR";"MARAGALL";"296";"CR";"JOAN MARAGALL";"5";"";"N";"";"";"N";"";"BS";"1";"1083";"485302";"4647650";"2,82257929";"41,98071267"
"BAR-RESTAURANT (CAT. 1) AMB MÚSICA DE FONS AMBIENTAL";"EL CUL DE LA LLEONA";"88";"CR";"CALDERERS";"8";"";"N";"";"";"N";"";"BS";"";"6043";"485443";"4648405";"2,82426261";"41,98751531"
"BAR-RESTAURANT (CAT. 2) I PUNT DE VENDA DE PA";"PLIS PLAS";"140";"PL";"CATALUNYA";"21";"";"N";"";"";"N";"";"BS";"4";"1062";"485316";"4647748";"2,82274584";"41,98159559"
"CARNISSERIA-PREPARACIO PLATS PRECUINATS";"";"169";"TR";"CREU";"18";"";"N";"";"";"N";"";"BS";"";"1454";"485216";"4647124";"2,82155441";"41,97597356"
"BAR RESTAURANT (CAT. 3)";"PONT DEL DIMONI";"434";"PG";"OLOT";"26";"";"N";"";"";"N";"";"BS";"2";"4759";"484155";"4647194";"2,80874612";"41,97658341"
